0.025
76.5912,76.5912,
122.6285,122.6285,
165.4570,165.4570,
202.1678,202.1678,
231.4315,231.4315,
253.2579,253.2579,
268.5560,268.5560,
278.6653,278.6653,
284.9803,284.9803,
288.7175,288.7175,
290.8169,290.8169,

0.0300
68.0074,68.0074,
108.8996,108.8996,
148.0307,148.0307,
183.1124,183.1124,
212.7942,212.7942,
236.6109,236.6109,
254.7986,254.7986,
268.0525,268.0525,
277.2887,277.2887,
283.4544,283.4544,
287.4031,287.4031,

0.0350
61.6560,61.6560,
98.5923,98.5923,
134.5380,134.5380,
167.6937,167.6937,
196.8506,196.8506,
221.3946,221.3946,
241.2298,241.2298,
256.6535,256.6535,
268.2134,268.2134,
276.5766,276.5766,
282.4241,282.4241,

0.0400
56.7393,56.7393,
90.5533,90.5533,
123.8081,123.8081,
155.0711,155.0711,
183.3011,183.3011,
207.8683,207.8683,
228.5238,228.5238,
245.3340,245.3340,
258.5962,258.5962,
268.7516,268.7516,
276.3074,276.3074,

0.0450
52.8021,52.8021,
84.0920,84.0920,
115.0733,115.0733,
144.5876,144.5876,
171.7476,171.7476,
195.9592,195.9592,
216.9115,216.9115,
234.5417,234.5417,
248.9852,248.9852,
260.5178,260.5178,
269.5008,269.5008,

0.0500
49.5649,49.5649,
78.7720,78.7720,
107.8193,107.8193,
135.7558,135.7558,
161.8254,161.8254,
185.4868,185.4868,
206.4126,206.4126,
224.4710,224.4710,
239.6946,239.6946,
252.2436,252.2436,
262.3661,262.3661,

0.0550
46.8468,46.8468,
74.3047,74.3047,
101.6921,101.6921,
128.2172,128.2172,
153.2327,153.2327,
176.2531,176.2531,
196.9568,196.9568,
215.1775,215.1775,
230.8844,230.8844,
244.1581,244.1581,
255.1624,255.1624,

0.0600
44.5250,44.5250,
70.4920,70.4920,
96.4412,96.4412,
121.7059,121.7059,
145.7283,145.7283,
168.0752,168.0752,
188.4416,188.4416,
206.6468,206.6468,
222.6216,222.6216,
236.3925,236.3925,
248.0617,248.0617,

0.0650
42.5134,42.5134,
67.1931,67.1931,
91.8854,91.8854,
116.0225,116.0225,
139.1210,139.1210,
160.7946,160.7946,
180.7593,180.7593,
198.8313,198.8313,
214.9193,214.9193,
229.0135,229.0135,
241.1716,241.1716,

0.0700
40.7494,40.7494,
64.3055,64.3055,
87.8898,87.8898,
111.0152,111.0152,
133.2594,133.2594,
154.2778,154.2778,
173.8084,173.8084,
191.6708,191.6708,
207.7618,207.7618,
222.0477,222.0477,
234.5541,234.5541,

0.0750
39.1865,39.1865,
61.7526,61.7526,
84.3529,84.3529,
106.5668,106.5668,
128.0231,128.0231,
148.4136,148.4136,
167.4978,167.4978,
185.1023,185.1023,
201.1185,201.1185,
215.4972,215.4972,
228.2411,228.2411,

0.0800
37.7896,37.7896,
59.4759,59.4759,
81.1962,81.1962,
102.5855,102.5855,
123.3155,123.3155,
143.1099,143.1099,
161.7479,161.7479,
179.0653,179.0653,
194.9523,194.9523,
209.3498,209.3498,
222.2444,222.2444,

