X                       ,Y                       ,T   
8.820000000000000062e-01,6.000000000000000125e-03,3.688177999999999770e+02
9.000000000000000222e-01,6.000000000000000125e-03,3.687706999999999766e+02
1.799999999999999864e-02,1.200000000000000025e-02,3.624026000000000067e+02
3.599999999999999728e-02,1.200000000000000025e-02,3.624372999999999934e+02
5.399999999999999939e-02,1.200000000000000025e-02,3.624662999999999897e+02
7.199999999999999456e-02,1.200000000000000025e-02,3.624902000000000157e+02
8.999999999999999667e-02,1.200000000000000025e-02,3.625097000000000094e+02
1.079999999999999988e-01,1.200000000000000025e-02,3.625255999999999972e+02
1.260000000000000009e-01,1.200000000000000025e-02,3.625387000000000057e+02
1.439999999999999891e-01,1.200000000000000025e-02,3.625495000000000232e+02
1.620000000000000051e-01,1.200000000000000025e-02,3.625584999999999809e+02
1.799999999999999933e-01,1.200000000000000025e-02,3.625659999999999741e+02
1.980000000000000093e-01,1.200000000000000025e-02,3.625722999999999843e+02
2.159999999999999976e-01,1.200000000000000025e-02,3.625776000000000181e+02
2.340000000000000135e-01,1.200000000000000025e-02,3.625822000000000003e+02
2.520000000000000018e-01,1.200000000000000025e-02,3.625860999999999876e+02
2.700000000000000178e-01,1.200000000000000025e-02,3.625892999999999802e+02
2.879999999999999782e-01,1.200000000000000025e-02,3.625921999999999912e+02
3.059999999999999942e-01,1.200000000000000025e-02,3.625946000000000140e+02
3.240000000000000102e-01,1.200000000000000025e-02,3.625966000000000236e+02
3.420000000000000262e-01,1.200000000000000025e-02,3.625982999999999947e+02
3.599999999999999867e-01,1.200000000000000025e-02,3.625996999999999844e+02
3.780000000000000027e-01,1.200000000000000025e-02,3.626007999999999925e+02
3.960000000000000187e-01,1.200000000000000025e-02,3.626016999999999939e+02
4.139999999999999791e-01,1.200000000000000025e-02,3.626023000000000138e+02
4.319999999999999951e-01,1.200000000000000025e-02,3.626028000000000020e+02
4.500000000000000111e-01,1.200000000000000025e-02,3.626030000000000086e+02
4.680000000000000271e-01,1.200000000000000025e-02,3.626030000000000086e+02
4.859999999999999876e-01,1.200000000000000025e-02,3.626028000000000020e+02
5.040000000000000036e-01,1.200000000000000025e-02,3.626023000000000138e+02
5.220000000000000195e-01,1.200000000000000025e-02,3.626016999999999939e+02
5.400000000000000355e-01,1.200000000000000025e-02,3.626007999999999925e+02
5.580000000000000515e-01,1.200000000000000025e-02,3.625996999999999844e+02
5.759999999999999565e-01,1.200000000000000025e-02,3.625982999999999947e+02
5.939999999999999725e-01,1.200000000000000025e-02,3.625966000000000236e+02
6.119999999999999885e-01,1.200000000000000025e-02,3.625946000000000140e+02
6.300000000000000044e-01,1.200000000000000025e-02,3.625921999999999912e+02
6.480000000000000204e-01,1.200000000000000025e-02,3.625892999999999802e+02
6.660000000000000364e-01,1.200000000000000025e-02,3.625860999999999876e+02
6.840000000000000524e-01,1.200000000000000025e-02,3.625822000000000003e+02
7.019999999999999574e-01,1.200000000000000025e-02,3.625776000000000181e+02
7.199999999999999734e-01,1.200000000000000025e-02,3.625722999999999843e+02
7.379999999999999893e-01,1.200000000000000025e-02,3.625659999999999741e+02
7.560000000000000053e-01,1.200000000000000025e-02,3.625584999999999809e+02
7.740000000000000213e-01,1.200000000000000025e-02,3.625495000000000232e+02
7.920000000000000373e-01,1.200000000000000025e-02,3.625387000000000057e+02
8.100000000000000533e-01,1.200000000000000025e-02,3.625255999999999972e+02
8.279999999999999583e-01,1.200000000000000025e-02,3.625097000000000094e+02
8.459999999999999742e-01,1.200000000000000025e-02,3.624902000000000157e+02
8.639999999999999902e-01,1.200000000000000025e-02,3.624662999999999897e+02
8.820000000000000062e-01,1.200000000000000025e-02,3.624372999999999934e+02
9.000000000000000222e-01,1.200000000000000025e-02,3.624026000000000067e+02
1.799999999999999864e-02,1.799999999999999864e-02,3.570428999999999746e+02
3.599999999999999728e-02,1.799999999999999864e-02,3.570692000000000235e+02
5.399999999999999939e-02,1.799999999999999864e-02,3.570928999999999860e+02
7.199999999999999456e-02,1.799999999999999864e-02,3.571141000000000076e+02
8.999999999999999667e-02,1.799999999999999864e-02,3.571329000000000065e+02
1.079999999999999988e-01,1.799999999999999864e-02,3.571492999999999824e+02
1.260000000000000009e-01,1.799999999999999864e-02,3.571635999999999740e+02
1.439999999999999891e-01,1.799999999999999864e-02,3.571761000000000195e+02
1.620000000000000051e-01,1.799999999999999864e-02,3.571870000000000118e+02
1.799999999999999933e-01,1.799999999999999864e-02,3.571965000000000146e+02
1.980000000000000093e-01,1.799999999999999864e-02,3.572047000000000025e+02
2.159999999999999976e-01,1.799999999999999864e-02,3.572119000000000142e+02
2.340000000000000135e-01,1.799999999999999864e-02,3.572180999999999926e+02
2.520000000000000018e-01,1.799999999999999864e-02,3.572235000000000014e+02
2.700000000000000178e-01,1.799999999999999864e-02,3.572282000000000153e+02
2.879999999999999782e-01,1.799999999999999864e-02,3.572323000000000093e+02
3.059999999999999942e-01,1.799999999999999864e-02,3.572357999999999834e+02
