[367.4316,367.5040,367.5496,367.5791,367.5985,367.6115,367.6202,367.6260,367.6295,367.6311,367.6311,367.6295,367.6260,367.6202,367.6115,367.5985,367.5791,367.5496,367.5040,367.4316,],
[359.5418,359.5936,359.6360,359.6699,359.6965,359.7169,359.7320,359.7428,359.7497,359.7530,359.7530,359.7497,359.7428,359.7320,359.7169,359.6965,359.6699,359.6360,359.5936,359.5418,],
[353.1821,353.2200,353.2532,353.2817,353.3056,353.3249,353.3399,353.3509,353.3582,353.3618,353.3618,353.3582,353.3509,353.3399,353.3249,353.3056,353.2817,353.2532,353.2200,353.1821,],
[347.8676,347.8969,347.9231,347.9461,347.9658,347.9821,347.9951,348.0048,348.0112,348.0144,348.0144,348.0112,348.0048,347.9951,347.9821,347.9658,347.9461,347.9231,347.8969,347.8676,],
[343.3485,343.3720,343.3932,343.4118,343.4280,343.4414,343.4523,343.4604,343.4658,343.4685,343.4685,343.4658,343.4604,343.4523,343.4414,343.4280,343.4118,343.3932,343.3720,343.3485,],
[339.4671,339.4865,339.5040,339.5194,339.5327,339.5439,339.5529,339.5597,339.5642,339.5665,339.5665,339.5642,339.5597,339.5529,339.5439,339.5327,339.5194,339.5040,339.4865,339.4671,],
[336.1135,336.1299,336.1446,336.1576,336.1688,336.1782,336.1858,336.1915,336.1953,336.1972,336.1972,336.1953,336.1915,336.1858,336.1782,336.1688,336.1576,336.1446,336.1299,336.1135,],
[333.2067,333.2208,333.2334,333.2445,333.2541,333.2621,333.2686,333.2734,333.2767,333.2783,333.2783,333.2767,333.2734,333.2686,333.2621,333.2541,333.2445,333.2334,333.2208,333.2067,],
[330.6845,330.6967,330.7077,330.7173,330.7256,330.7326,330.7382,330.7424,330.7452,330.7466,330.7466,330.7452,330.7424,330.7382,330.7326,330.7256,330.7173,330.7077,330.6967,330.6845,],
[328.4979,328.5087,328.5183,328.5268,328.5341,328.5402,328.5451,328.5488,328.5512,328.5525,328.5525,328.5512,328.5488,328.5451,328.5402,328.5341,328.5268,328.5183,328.5087,328.4979,],
[326.6078,326.6174,326.6260,326.6335,326.6400,326.6454,326.6498,326.6530,326.6552,326.6563,326.6563,326.6552,326.6530,326.6498,326.6454,326.6400,326.6335,326.6260,326.6174,326.6078,],
[324.9824,324.9911,324.9988,325.0056,325.0114,325.0163,325.0202,325.0231,325.0251,325.0260,325.0260,325.0251,325.0231,325.0202,325.0163,325.0114,325.0056,324.9988,324.9911,324.9824,],
[323.5958,323.6036,323.6107,323.6168,323.6221,323.6265,323.6301,323.6327,323.6345,323.6354,323.6354,323.6345,323.6327,323.6301,323.6265,323.6221,323.6168,323.6107,323.6036,323.5958,],
[322.4265,322.4337,322.4401,322.4458,322.4506,322.4547,322.4579,322.4604,322.4620,322.4628,322.4628,322.4620,322.4604,322.4579,322.4547,322.4506,322.4458,322.4401,322.4337,322.4265,],
[321.4569,321.4636,321.4695,321.4748,321.4792,321.4830,321.4860,321.4882,321.4897,321.4905,321.4905,321.4897,321.4882,321.4860,321.4830,321.4792,321.4748,321.4695,321.4636,321.4569,],
[320.6724,320.6787,320.6843,320.6891,320.6933,320.6968,320.6996,320.7017,320.7031,320.7038,320.7038,320.7031,320.7017,320.6996,320.6968,320.6933,320.6891,320.6843,320.6787,320.6724,],
[320.0611,320.0670,320.0723,320.0769,320.0808,320.0841,320.0868,320.0887,320.0901,320.0907,320.0907,320.0901,320.0887,320.0868,320.0841,320.0808,320.0769,320.0723,320.0670,320.0611,],
[319.6132,319.6188,319.6238,319.6282,319.6319,319.6351,319.6376,319.6395,319.6407,319.6414,319.6414,319.6407,319.6395,319.6376,319.6351,319.6319,319.6282,319.6238,319.6188,319.6132,],
[319.3207,319.3261,319.3309,319.3351,319.3387,319.3417,319.3441,319.3460,319.3472,319.3478,319.3478,319.3472,319.3460,319.3441,319.3417,319.3387,319.3351,319.3309,319.3261,319.3207,],
